onset	duration	trial_type	stim_file
6	90	Scramble Fix BÂ 	cond2_run-02.mp4
105	90	Intact A	cond2_run-02.mp4
204	90	Scramble Rnd C V3	cond2_run-02.mp4
303	90	Intact A	cond2_run-02.mp4
402	90	Scramble Fix B	cond2_run-02.mp4
501	90	Scramble Rnd C V4	cond2_run-02.mp4
